stimulus,condition,rt1,resp1,rt2,resp2,rt3,resp3,rt4,resp4,rt5,resp5,enter_rt,enter_resp,unknown,subject,session
65695,0,731,6,252,5,286,6,221,9,257,5,302,-35,,1,1
56595,2,866,5,249,6,248,5,217,9,244,5,324,-35,,1,1
52697,0,1158,5,235,2,272,6,221,9,207,7,297,-35,,1,1
12597,2,669,1,222,2,221,5,231,9,221,7,279,-35,,1,1
81818,0,824,8,235,1,272,8,252,1,204,8,274,-35,,1,1
63187,2,880,6,380,3,353,1,326,8,236,7,324,-35,,1,1
14263,0,733,1,376,4,477,2,244,6,249,3,246,-35,,1,1
63731,2,880,6,267,3,289,7,263,3,226,1,297,-35,,1,1
94587,2,900,9,243,4,254,5,262,8,221,7,288,-35,,1,1
95818,2,767,9,235,5,221,8,248,1,190,8,269,-35,,1,1
52523,2,722,5,203,2,235,5,207,2,199,3,247,-35,,1,1
